invoice_no,invoice_date,customer_id,gender,age,category,quantity,selling_price_per_unit,cost_price_per_unit,payment_method,region,state,shopping_mall
I316307,11/3/2016 1:02,C301516,Female,33,Clothing,5,1500.4,1425.38,Debit Card,Central,Texas,Zorlu Center
I288286,11/3/2016 1:02,C265339,Female,62,Cosmetics,5,203.3,162.64,Credit Card,Central,Iowa,Metropol AVM
I288113,11/3/2016 1:02,C276321,Male,56,Clothing,2,600.16,450.12,Credit Card,Central,Iowa,Istinye Park
I149329,11/3/2016 1:02,C188471,Male,51,Clothing,3,900.24,675.18,Cash,Central,Iowa,Kanyon
I187157,11/3/2016 1:03,C181226,Female,49,Books,4,60.6,45.45,Credit Card,West,California,Kanyon
I154906,11/3/2016 1:03,C279938,Female,59,Cosmetics,1,40.66,28.462,Cash,West,California,Istinye Park
I313333,11/3/2016 1:03,C208022,Female,22,Cosmetics,2,81.32,56.924,Credit Card,West,California,Metrocity
I457929,11/3/2016 1:03,C292178,Male,19,Clothing,5,1500.4,1425.38,Cash,West,California,Viaport Outlet
I288797,11/3/2016 1:04,C393327,Female,35,Cosmetics,1,40.66,28.462,Cash,South,Alabama,Istinye Park
I227386,11/3/2016 1:04,C273342,Male,53,Shoes,4,2400.68,2280.646,Cash,South,Alabama,Metropol AVM
I838770,11/3/2016 1:04,C278017,Male,24,Cosmetics,2,81.32,56.924,Credit Card,South,Alabama,Kanyon
I165278,11/3/2016 1:04,C115196,Female,34,Food & Beverage,2,10.46,7.322,Debit Card,South,Florida,Istinye Park
I839200,11/3/2016 1:05,C269634,Male,21,Shoes,5,3000.85,2700.765,Cash,West,Oregon,Metropol AVM
I115110,11/3/2016 1:05,C819306,Female,64,Food & Beverage,3,15.69,10.983,Credit Card,West,Idaho,Istinye Park
I273872,11/3/2016 1:05,C349509,Male,39,Clothing,1,300.08,225.06,Credit Card,West,California,Viaport Outlet
I292991,11/3/2016 1:05,C299780,Female,28,Toys,4,143.36,114.688,Cash,West,California,Kanyon
I203854,11/3/2016 1:06,C258831,Female,25,Cosmetics,4,162.64,130.112,Cash,Central,Texas,Zorlu Center
I153112,11/3/2016 1:06,C237198,Male,21,Toys,3,107.52,80.64,Credit Card,West,Washington,Mall of Istanbul
I192807,11/3/2016 1:06,C256670,Female,67,Clothing,4,1200.32,1140.304,Credit Card,West,Washington,Viaport Outlet
I155594,11/3/2016 1:06,C710706,Male,65,Books,2,30.3,21.21,Debit Card,West,Washington,Metrocity
I294039,11/3/2016 1:06,C802233,Female,51,Cosmetics,4,162.64,130.112,Credit Card,West,Washington,Mall of Istanbul
I131145,11/3/2016 1:07,C621691,Female,47,Clothing,5,1500.4,1425.38,Cash,Central,Iowa,Istinye Park
I207946,11/3/2016 1:07,C219963,Female,61,Technology,4,4200,3780,Debit Card,Central,Iowa,Mall of Istanbul
I225598,11/3/2016 1:07,C260158,Female,43,Shoes,3,1800.51,1620.459,Debit Card,Central,Iowa,Metropol AVM
I128807,11/3/2016 1:07,C826033,Female,63,Clothing,4,1200.32,1140.304,Credit Card,Central,Iowa,Kanyon
I219095,11/3/2016 1:08,C308408,Male,57,Clothing,2,600.16,450.12,Credit Card,Central,Iowa,Viaport Outlet
I832661,11/3/2016 1:08,C298430,Female,33,Clothing,2,600.16,450.12,Cash,East,Massachusetts,Metrocity
I740411,11/3/2016 1:08,C177953,Female,23,Clothing,2,600.16,450.12,Cash,East,Massachusetts,Kanyon
I105760,11/3/2016 1:08,C276089,Female,22,Cosmetics,4,162.64,130.112,Credit Card,East,Massachusetts,Mall of Istanbul
I306603,11/3/2016 1:09,C178593,Male,31,Food & Beverage,4,20.92,15.69,Credit Card,East,Massachusetts,Metrocity
I253081,11/3/2016 1:09,C179956,Male,64,Cosmetics,3,121.98,91.485,Debit Card,West,California,Kanyon
I647540,11/3/2016 1:09,C338166,Male,54,Toys,2,71.68,50.176,Cash,West,California,Metrocity
I159777,11/3/2016 1:09,C186730,Male,30,Clothing,1,300.08,225.06,Cash,West,California,Mall of Istanbul
I331987,11/3/2016 1:09,C216058,Male,30,Toys,4,143.36,114.688,Cash,Central,Texas,Metropol AVM
I220017,11/3/2016 1:10,C273080,Female,39,Food & Beverage,5,26.15,19.6125,Cash,Central,Texas,Mall of Istanbul
I220623,11/3/2016 1:10,C690514,Female,53,Shoes,4,2400.68,2280.646,Credit Card,Central,Texas,Viaport Outlet
I257575,11/3/2016 1:10,C180481,Male,56,Clothing,1,300.08,225.06,Credit Card,Central,Texas,Istinye Park
I122558,11/3/2016 1:10,C170312,Female,33,Food & Beverage,1,5.23,3.661,Credit Card,Central,Texas,Viaport Outlet
I516522,11/3/2016 1:11,C125644,Female,32,Toys,2,71.68,50.176,Cash,Central,Texas,Istinye Park
I296840,11/3/2016 1:11,C331033,Male,25,Toys,5,179.2,143.36,Credit Card,East,Ohio,Zorlu Center
I922963,11/3/2016 1:11,C739050,Female,59,Cosmetics,2,81.32,56.924,Cash,East,Ohio,Metropol AVM
I241709,11/3/2016 1:11,C200658,Female,27,Cosmetics,3,121.98,91.485,Credit Card,East,Ohio,Kanyon
I263714,11/3/2016 1:12,C305512,Female,57,Clothing,2,600.16,450.12,Credit Card,West,Oregon,Mall of Istanbul
I565979,11/3/2016 1:12,C256024,Female,20,Clothing,5,1500.4,1425.38,Cash,West,Oregon,Metrocity
I549083,11/3/2016 1:12,C515789,Male,33,Cosmetics,4,162.64,130.112,Credit Card,South,Alabama,Mall of Istanbul
I120676,11/3/2016 1:12,C109092,Female,34,Clothing,2,600.16,450.12,Credit Card,South,Alabama,Mall of Istanbul
I335326,11/3/2016 1:13,C289946,Male,59,Clothing,2,600.16,450.12,Debit Card,West,California,Metropol AVM
I174599,11/3/2016 1:13,C193130,Female,49,Cosmetics,5,203.3,162.64,Credit Card,West,California,Metropol AVM
I189190,11/3/2016 1:13,C602865,Male,63,Clothing,5,1500.4,1425.38,Debit Card,West,California,Kanyon
I772985,11/3/2016 1:13,C589366,Female,65,Shoes,1,600.17,450.1275,Credit Card,South,Florida,Metrocity
I300134,11/3/2016 1:13,C997699,Female,18,Food & Beverage,4,20.92,15.69,Credit Card,East,New York,Zorlu Center
I105569,11/3/2016 1:14,C898154,Female,40,Clothing,4,1200.32,1140.304,Credit Card,South,Virginia,Mall of Istanbul
I200772,11/3/2016 1:14,C551678,Male,60,Toys,2,71.68,50.176,Debit Card,South,North Carolina,Zorlu Center
I209309,11/3/2016 1:14,C211584,Female,39,Cosmetics,3,121.98,91.485,Credit Card,Central,Texas,Istinye Park
I183981,11/3/2016 1:14,C121377,Female,20,Books,4,60.6,45.45,Cash,East,Pennsylvania,Metropol AVM
I158679,11/3/2016 1:15,C305956,Female,65,Books,4,60.6,45.45,Credit Card,Central,Illinois,Viaport Outlet
I156947,11/3/2016 1:15,C148791,Female,52,Toys,3,107.52,80.64,Credit Card,East,Massachusetts,Metropol AVM
I231344,11/3/2016 1:15,C940452,Female,69,Souvenir,2,23.46,16.422,Debit Card,Central,Illinois,Istinye Park
I240391,11/3/2016 1:15,C462382,Male,69,Shoes,4,2400.68,2280.646,Cash,South,Georgia,Istinye Park
I217128,11/3/2016 1:16,C192874,Female,60,Toys,3,107.52,80.64,Debit Card,South,Georgia,Mall of Istanbul
I149779,11/3/2016 1:16,C176355,Male,35,Shoes,4,2400.68,2280.646,Credit Card,South,Florida,Viaport Outlet
I755693,11/3/2016 1:16,C950908,Female,37,Souvenir,1,11.73,8.211,Cash,East,Pennsylvania,Istinye Park
I337877,11/3/2016 1:16,C162198,Female,58,Food & Beverage,2,10.46,7.322,Debit Card,Central,Indiana,Viaport Outlet
I264085,11/3/2016 1:16,C480969,Female,39,Shoes,1,600.17,450.1275,Credit Card,East,New York,Zorlu Center
I307164,11/3/2016 1:17,C322076,Female,41,Clothing,5,1500.4,1425.38,Debit Card,East,New York,Viaport Outlet
I277206,11/3/2016 1:17,C196220,Male,37,Cosmetics,3,121.98,91.485,Credit Card,East,Massachusetts,Mall of Istanbul
I161276,11/3/2016 1:17,C330582,Female,26,Technology,4,4200,3780,Credit Card,Central,Iowa,Istinye Park
I249038,11/3/2016 1:17,C673602,Male,42,Cosmetics,5,203.3,162.64,Cash,West,California,Kanyon
I335525,11/3/2016 1:18,C253027,Female,65,Souvenir,2,23.46,16.422,Cash,South,North Carolina,Kanyon
I311188,11/3/2016 1:18,C205044,Male,56,Clothing,3,900.24,675.18,Debit Card,South,Georgia,Istinye Park
I495081,11/3/2016 1:18,C264063,Female,26,Technology,2,2100,1890,Cash,South,Georgia,Metropol AVM
I765948,11/3/2016 1:18,C659093,Male,38,Food & Beverage,4,20.92,15.69,Credit Card,South,Georgia,Zorlu Center
I216325,11/3/2016 1:19,C207371,Female,35,Toys,5,179.2,143.36,Credit Card,South,Georgia,Mall of Istanbul
I762540,11/3/2016 1:19,C323948,Male,44,Cosmetics,2,81.32,56.924,Cash,South,Florida,Metropol AVM
I123540,11/3/2016 1:19,C325084,Male,51,Clothing,5,1500.4,1425.38,Credit Card,West,California,Kanyon
I228295,11/3/2016 1:19,C173587,Male,51,Shoes,4,2400.68,2280.646,Credit Card,West,California,Metrocity
I240573,11/3/2016 1:20,C336314,Male,51,Toys,5,179.2,143.36,Cash,West,California,Mall of Istanbul
I154910,11/3/2016 1:20,C525711,Female,68,Cosmetics,5,203.3,162.64,Credit Card,West,California,Mall of Istanbul
I177997,11/3/2016 1:20,C527826,Female,30,Souvenir,4,46.92,35.19,Debit Card,East,Ohio,Kanyon
I259513,11/3/2016 1:20,C530825,Female,21,Books,5,75.75,56.8125,Cash,East,Ohio,Metrocity
I504891,11/3/2016 1:20,C335787,Male,20,Books,3,45.45,31.815,Credit Card,South,Florida,Mall of Istanbul
I140999,11/3/2016 1:21,C748961,Female,20,Souvenir,3,35.19,24.633,Credit Card,West,Arizona,Viaport Outlet
I128436,11/3/2016 1:21,C114015,Female,65,Cosmetics,3,121.98,91.485,Debit Card,West,Arizona,Mall of Istanbul
I923475,11/3/2016 1:21,C252457,Female,59,Food & Beverage,3,15.69,10.983,Credit Card,West,California,Zorlu Center
I118781,11/3/2016 1:21,C247046,Male,31,Souvenir,4,46.92,35.19,Credit Card,West,California,Istinye Park
I122702,11/3/2016 1:22,C508897,Female,19,Clothing,4,1200.32,1140.304,Debit Card,East,New York,Kanyon
I118832,11/3/2016 1:22,C698107,Female,45,Clothing,4,1200.32,1140.304,Cash,West,California,Mall of Istanbul
I278673,11/3/2016 1:22,C298447,Male,47,Food & Beverage,1,5.23,3.661,Credit Card,West,California,Kanyon
I759163,11/3/2016 1:22,C279977,Female,52,Shoes,1,600.17,450.1275,Credit Card,East,Massachusetts,Metrocity
I223079,11/3/2016 1:23,C167943,Male,35,Food & Beverage,1,5.23,3.661,Debit Card,East,Massachusetts,Istinye Park
I127029,11/3/2016 1:23,C226912,Male,65,Clothing,2,600.16,450.12,Debit Card,East,Massachusetts,Viaport Outlet
I162047,11/3/2016 1:23,C237281,Male,40,Books,4,60.6,45.45,Cash,East,Massachusetts,Metrocity
I566857,11/3/2016 1:23,C289816,Female,46,Souvenir,5,58.65,43.9875,Credit Card,East,Massachusetts,Metrocity
I559338,11/3/2016 1:23,C997679,Female,56,Clothing,1,300.08,225.06,Cash,Central,Illinois,Istinye Park
I117276,11/3/2016 1:24,C306034,Female,36,Shoes,2,1200.34,1080.306,Cash,West,California,Kanyon
I309841,11/3/2016 1:24,C354610,Male,31,Technology,4,4200,3780,Cash,West,California,Kanyon
I808647,11/3/2016 1:24,C288003,Male,45,Clothing,1,300.08,225.06,Credit Card,West,Arizona,Istinye Park
I271983,11/3/2016 1:24,C266695,Male,45,Technology,1,1050,945,Credit Card,West,California,Mall of Istanbul
I796890,11/3/2016 1:25,C165098,Male,34,Food & Beverage,5,26.15,19.6125,Credit Card,West,California,Viaport Outlet
I234796,11/3/2016 1:25,C284339,Male,47,Cosmetics,2,81.32,56.924,Credit Card,West,California,Kanyon
I736350,11/3/2016 1:25,C581606,Female,56,Souvenir,3,35.19,24.633,Credit Card,West,Washington,Zorlu Center
I968679,11/3/2016 1:25,C435207,Male,58,Clothing,1,300.08,225.06,Cash,South,Alabama,Metropol AVM
I896458,11/3/2016 1:26,C264516,Male,46,Food & Beverage,4,20.92,15.69,Cash,South,Alabama,Mall of Istanbul
I278619,11/3/2016 1:26,C784779,Female,59,Food & Beverage,5,26.15,19.6125,Cash,East,New York,Metropol AVM
I308671,11/3/2016 1:26,C242229,Female,64,Clothing,3,900.24,675.18,Cash,East,New York,Zorlu Center
I256791,11/3/2016 1:26,C337300,Male,35,Food & Beverage,3,15.69,10.983,Credit Card,East,New York,Kanyon
I209312,11/3/2016 1:27,C140983,Male,57,Toys,4,143.36,114.688,Cash,East,New York,Kanyon
I101429,11/3/2016 1:27,C148693,Female,50,Books,4,60.6,45.45,Credit Card,East,New York,Mall of Istanbul
I119733,11/3/2016 1:27,C531247,Female,22,Technology,1,1050,945,Debit Card,South,North Carolina,Metrocity
I307448,11/3/2016 1:27,C593403,Female,69,Clothing,3,900.24,675.18,Cash,Central,Texas,Metrocity
I260394,11/3/2016 1:27,C947232,Female,33,Toys,1,35.84,25.088,Credit Card,East,New York,Metrocity
I116523,11/3/2016 1:28,C229770,Female,23,Food & Beverage,5,26.15,19.6125,Cash,East,New York,Kanyon
I272648,11/3/2016 1:28,C968676,Male,18,Clothing,1,300.08,225.06,Credit Card,South,Georgia,Metrocity
I831968,11/3/2016 1:28,C141850,Female,42,Toys,5,179.2,143.36,Credit Card,Central,Illinois,Metrocity
I206672,11/3/2016 1:28,C203212,Female,53,Clothing,3,900.24,675.18,Credit Card,Central,Illinois,Istinye Park
I133525,11/3/2016 1:29,C324447,Female,21,Books,1,15.15,10.605,Debit Card,Central,Illinois,Mall of Istanbul
I248307,11/3/2016 1:29,C297052,Female,28,Clothing,2,600.16,450.12,Debit Card,West,Washington,Kanyon
I870745,11/3/2016 1:29,C247836,Male,58,Clothing,2,600.16,450.12,Cash,Central,Iowa,Viaport Outlet
I261104,11/3/2016 1:29,C284823,Male,36,Clothing,2,600.16,450.12,Credit Card,Central,Iowa,Mall of Istanbul
I236793,11/3/2016 1:30,C369221,Female,21,Food & Beverage,4,20.92,15.69,Credit Card,Central,Iowa,Mall of Istanbul
I284620,11/3/2016 1:30,C154618,Female,20,Books,4,60.6,45.45,Debit Card,West,Washington,Kanyon
I996816,11/3/2016 1:30,C326837,Female,25,Clothing,2,600.16,450.12,Cash,South,Florida,Istinye Park
I225643,11/3/2016 1:30,C232110,Female,62,Clothing,4,1200.32,1140.304,Cash,East,New York,Mall of Istanbul
I255070,11/3/2016 1:30,C155723,Male,44,Shoes,4,2400.68,2280.646,Credit Card,East,New York,Kanyon
I254030,11/3/2016 1:31,C944156,Female,60,Toys,3,107.52,80.64,Credit Card,East,New York,Metropol AVM
I490134,11/3/2016 1:31,C318901,Female,57,Technology,2,2100,1890,Credit Card,Central,Indiana,Mall of Istanbul
I269241,11/3/2016 1:31,C185915,Female,32,Food & Beverage,4,20.92,15.69,Cash,Central,Indiana,Istinye Park
I238942,11/3/2016 1:31,C246596,Female,61,Toys,4,143.36,114.688,Debit Card,Central,Indiana,Mall of Istanbul
I784068,11/3/2016 1:32,C247938,Male,58,Cosmetics,2,81.32,56.924,Cash,Central,Texas,Zorlu Center
I242521,11/3/2016 1:32,C929192,Female,67,Clothing,1,300.08,225.06,Cash,East,Pennsylvania,Viaport Outlet
I211937,11/3/2016 1:32,C215297,Female,48,Clothing,4,1200.32,1140.304,Credit Card,East,Pennsylvania,Istinye Park
I301149,11/3/2016 1:32,C635405,Male,25,Food & Beverage,2,10.46,7.322,Credit Card,East,Pennsylvania,Metropol AVM
I155687,11/3/2016 1:33,C318430,Female,48,Clothing,1,300.08,225.06,Credit Card,West,California,Metropol AVM
I115091,11/3/2016 1:33,C487516,Female,18,Clothing,2,600.16,450.12,Cash,Central,Texas,Zorlu Center
I198015,11/3/2016 1:33,C180926,Female,34,Clothing,5,1500.4,1425.38,Credit Card,Central,Michigan,Metrocity
I108858,11/3/2016 1:33,C189779,Male,19,Cosmetics,2,81.32,56.924,Cash,East,New York,Istinye Park
I820516,11/3/2016 1:34,C427418,Female,34,Cosmetics,5,203.3,162.64,Debit Card,East,New York,Mall of Istanbul
I876996,11/3/2016 1:34,C110739,Male,55,Cosmetics,3,121.98,91.485,Cash,South,Georgia,Istinye Park
I333633,11/3/2016 1:34,C137170,Male,23,Souvenir,5,58.65,43.9875,Cash,Central,Iowa,Istinye Park
I243832,11/3/2016 1:34,C230079,Male,41,Food & Beverage,4,20.92,15.69,Cash,South,North Carolina,Mall of Istanbul
I639720,11/3/2016 1:34,C200935,Female,25,Food & Beverage,1,5.23,3.661,Credit Card,Central,Michigan,Kanyon
I183506,11/3/2016 1:35,C339954,Female,42,Toys,5,179.2,143.36,Cash,West,California,Metrocity
I385465,11/3/2016 1:35,C159618,Female,51,Cosmetics,4,162.64,130.112,Credit Card,West,California,Istinye Park
I145284,11/3/2016 1:35,C337672,Female,38,Food & Beverage,1,5.23,3.661,Cash,West,California,Viaport Outlet
I155473,11/3/2016 1:35,C311585,Female,46,Cosmetics,1,40.66,28.462,Cash,West,Washington,Kanyon
I162912,11/3/2016 1:36,C639119,Female,35,Clothing,3,900.24,675.18,Cash,West,Washington,Mall of Istanbul
I308989,11/3/2016 1:36,C137131,Female,66,Cosmetics,1,40.66,28.462,Credit Card,West,Washington,Mall of Istanbul
I250064,11/3/2016 1:36,C206101,Female,53,Cosmetics,5,203.3,162.64,Debit Card,West,Washington,Istinye Park
I125152,11/3/2016 1:36,C548265,Male,57,Clothing,4,1200.32,1140.304,Cash,West,Washington,Istinye Park
I301383,11/3/2016 1:37,C571423,Female,35,Clothing,3,900.24,675.18,Credit Card,West,Washington,Zorlu Center
I280042,11/3/2016 1:37,C139879,Female,28,Cosmetics,3,121.98,91.485,Cash,West,Washington,Zorlu Center
I294702,11/3/2016 1:37,C297467,Female,26,Toys,5,179.2,143.36,Cash,Central,Iowa,Istinye Park
I139501,11/3/2016 1:37,C182188,Male,18,Clothing,2,600.16,450.12,Debit Card,Central,Iowa,Kanyon
I264189,11/3/2016 1:37,C350335,Female,19,Shoes,3,1800.51,1620.459,Credit Card,Central,Iowa,Istinye Park
I188710,11/3/2016 1:38,C210969,Male,39,Clothing,4,1200.32,1140.304,Cash,West,California,Viaport Outlet
I252044,11/3/2016 1:38,C168361,Male,36,Clothing,4,1200.32,1140.304,Credit Card,West,California,Metropol AVM
I152823,11/3/2016 1:38,C224457,Female,53,Shoes,1,600.17,450.1275,Credit Card,West,California,Zorlu Center
I625389,11/3/2016 1:38,C204889,Female,55,Clothing,4,1200.32,1140.304,Credit Card,West,California,Metrocity
I207900,11/3/2016 1:39,C177696,Male,61,Clothing,2,600.16,450.12,Cash,West,California,Mall of Istanbul
I336761,11/3/2016 1:39,C231166,Male,64,Technology,3,3150,2677.5,Credit Card,West,California,Metropol AVM
I364887,11/3/2016 1:39,C172970,Male,68,Food & Beverage,5,26.15,19.6125,Credit Card,West,Arizona,Kanyon
I856041,11/3/2016 1:39,C109754,Male,56,Clothing,2,600.16,450.12,Cash,West,Arizona,Viaport Outlet
I236927,11/3/2016 1:40,C162937,Female,60,Clothing,3,900.24,675.18,Debit Card,West,Arizona,Zorlu Center
I129071,11/3/2016 1:40,C151923,Female,20,Clothing,5,1500.4,1425.38,Cash,West,Arizona,Zorlu Center
I275898,11/3/2016 1:40,C328242,Male,39,Cosmetics,4,162.64,130.112,Debit Card,West,Arizona,Mall of Istanbul
I183598,11/3/2016 1:40,C251661,Male,57,Clothing,2,600.16,450.12,Debit Card,West,Arizona,Metrocity
I185479,11/3/2016 1:41,C236253,Male,21,Toys,3,107.52,80.64,Credit Card,East,New York,Istinye Park
I269170,11/3/2016 1:41,C202146,Female,18,Food & Beverage,3,15.69,10.983,Cash,East,New York,Metrocity
I744066,11/3/2016 1:41,C227056,Female,27,Clothing,1,300.08,225.06,Cash,East,Ohio,Kanyon
I330030,11/3/2016 1:41,C168122,Male,22,Toys,1,35.84,25.088,Cash,West,California,Metropol AVM
I335026,11/3/2016 1:41,C108487,Female,26,Clothing,1,300.08,225.06,Cash,West,California,Mall of Istanbul
I264431,11/3/2016 1:42,C157574,Male,26,Souvenir,2,23.46,16.422,Debit Card,West,Washington,Zorlu Center
I278817,11/3/2016 1:42,C194090,Female,26,Clothing,2,600.16,450.12,Cash,West,Washington,Istinye Park
I111982,11/3/2016 1:42,C347149,Male,43,Souvenir,1,11.73,8.211,Cash,West,California,Kanyon
I639329,11/3/2016 1:42,C148828,Female,35,Clothing,1,300.08,225.06,Debit Card,West,California,Istinye Park
I292818,11/3/2016 1:43,C532053,Female,18,Food & Beverage,2,10.46,7.322,Credit Card,West,California,Mall of Istanbul
I334241,11/3/2016 1:43,C624637,Female,57,Food & Beverage,3,15.69,10.983,Credit Card,West,California,Mall of Istanbul
I238334,11/3/2016 1:43,C281947,Male,46,Clothing,4,1200.32,1140.304,Cash,Central,Illinois,Mall of Istanbul
I758208,11/3/2016 1:43,C184429,Female,28,Clothing,2,600.16,450.12,Cash,Central,Illinois,Istinye Park
I111158,11/3/2016 1:44,C151585,Female,52,Clothing,5,1500.4,1425.38,Credit Card,South,North Carolina,Mall of Istanbul
I696164,11/3/2016 1:44,C234542,Male,29,Books,5,75.75,56.8125,Credit Card,South,North Carolina,Mall of Istanbul
I141803,11/3/2016 1:44,C211303,Female,30,Technology,4,4200,3780,Cash,South,North Carolina,Viaport Outlet
I113895,11/3/2016 1:44,C296266,Female,43,Food & Beverage,2,10.46,7.322,Cash,South,North Carolina,Metrocity
I266697,11/3/2016 1:44,C996637,Male,49,Clothing,4,1200.32,1140.304,Credit Card,South,North Carolina,Metrocity
I271960,11/3/2016 1:45,C221808,Female,22,Shoes,5,3000.85,2700.765,Cash,Central,Iowa,Kanyon
I331094,11/3/2016 1:45,C291380,Male,33,Food & Beverage,2,10.46,7.322,Debit Card,Central,Texas,Mall of Istanbul
I149975,11/3/2016 1:45,C198925,Male,64,Souvenir,2,23.46,16.422,Cash,Central,Texas,Kanyon
I127989,11/3/2016 1:45,C153957,Female,51,Shoes,4,2400.68,2280.646,Debit Card,East,Pennsylvania,Metropol AVM
I241539,11/3/2016 1:46,C848121,Female,25,Souvenir,2,23.46,16.422,Debit Card,East,New York,Viaport Outlet
I145418,11/3/2016 1:46,C259993,Female,41,Toys,5,179.2,143.36,Credit Card,South,Alabama,Istinye Park
I225428,11/3/2016 1:46,C270971,Female,22,Toys,1,35.84,25.088,Cash,East,Pennsylvania,Metropol AVM
I207461,11/3/2016 1:46,C194036,Female,60,Shoes,2,1200.34,1080.306,Cash,East,Pennsylvania,Istinye Park
I400049,11/3/2016 1:47,C123172,Female,38,Technology,4,4200,3780,Cash,West,Washington,Metrocity
I827482,11/3/2016 1:47,C104688,Female,63,Food & Beverage,3,15.69,10.983,Debit Card,West,Washington,Metrocity
I431680,11/3/2016 1:47,C317814,Male,68,Clothing,4,1200.32,1140.304,Cash,West,Oregon,Istinye Park
I323720,11/3/2016 1:47,C154520,Female,67,Clothing,2,600.16,450.12,Credit Card,West,Oregon,Metropol AVM
I245610,11/3/2016 1:48,C226064,Female,34,Food & Beverage,2,10.46,7.322,Credit Card,South,Georgia,Istinye Park
I232505,11/3/2016 1:48,C121020,Male,52,Clothing,2,600.16,450.12,Cash,South,Georgia,Istinye Park
I252998,11/3/2016 1:48,C610346,Male,52,Clothing,1,300.08,225.06,Cash,South,Georgia,Metropol AVM
I654526,11/3/2016 1:48,C177539,Male,68,Clothing,4,1200.32,1140.304,Credit Card,West,California,Istinye Park
I897721,11/3/2016 1:48,C686303,Female,49,Cosmetics,3,121.98,91.485,Cash,West,California,Viaport Outlet
I237501,11/3/2016 1:49,C123905,Female,56,Clothing,4,1200.32,1140.304,Credit Card,West,California,Mall of Istanbul
I143276,11/3/2016 1:49,C315374,Male,21,Clothing,4,1200.32,1140.304,Cash,West,California,Mall of Istanbul
I299813,11/3/2016 1:49,C995938,Female,53,Food & Beverage,4,20.92,15.69,Debit Card,East,New York,Viaport Outlet
I165468,11/3/2016 1:49,C207090,Male,33,Food & Beverage,5,26.15,19.6125,Credit Card,Central,Michigan,Metropol AVM
I251323,11/3/2016 1:50,C309403,Male,40,Toys,3,107.52,80.64,Cash,West,California,Mall of Istanbul
I107679,11/3/2016 1:50,C115115,Female,21,Clothing,2,600.16,450.12,Cash,West,Arizona,Viaport Outlet
I710506,11/3/2016 1:50,C686340,Female,49,Clothing,1,300.08,225.06,Credit Card,East,Pennsylvania,Istinye Park
I508875,11/3/2016 1:50,C335288,Male,21,Toys,3,107.52,80.64,Debit Card,East,Pennsylvania,Kanyon
I298806,11/3/2016 1:51,C650400,Male,56,Clothing,4,1200.32,1140.304,Credit Card,East,Pennsylvania,Viaport Outlet
I774775,11/3/2016 1:51,C195657,Female,53,Clothing,4,1200.32,1140.304,Cash,East,Pennsylvania,Istinye Park
I193203,11/3/2016 1:51,C126885,Male,40,Cosmetics,4,162.64,130.112,Cash,East,Pennsylvania,Mall of Istanbul
I310412,11/3/2016 1:51,C230281,Male,54,Toys,3,107.52,80.64,Credit Card,East,Pennsylvania,Istinye Park
I271485,11/3/2016 1:51,C118933,Female,58,Clothing,3,900.24,675.18,Cash,Central,Michigan,Metrocity
I199702,11/3/2016 1:52,C329130,Male,36,Toys,3,107.52,80.64,Credit Card,East,New York,Mall of Istanbul
I263476,11/3/2016 1:52,C275258,Male,27,Shoes,1,600.17,450.1275,Cash,East,New York,Mall of Istanbul
I221069,11/3/2016 1:52,C208524,Male,57,Clothing,1,300.08,225.06,Debit Card,Central,Iowa,Istinye Park
I246183,11/3/2016 1:52,C325085,Female,52,Clothing,1,300.08,225.06,Cash,East,New York,Mall of Istanbul
I707891,11/3/2016 1:53,C186109,Female,58,Souvenir,3,35.19,24.633,Cash,West,California,Metrocity
I230129,11/3/2016 1:53,C846167,Male,51,Toys,4,143.36,114.688,Credit Card,South,Kentucky,Viaport Outlet
I540016,11/3/2016 1:53,C818483,Female,31,Food & Beverage,5,26.15,19.6125,Credit Card,East,Ohio,Mall of Istanbul
I322440,11/3/2016 1:53,C176023,Male,37,Books,3,45.45,31.815,Cash,West,Colorado,Zorlu Center
I977498,11/3/2016 1:54,C261214,Male,37,Food & Beverage,3,15.69,10.983,Credit Card,West,Colorado,Viaport Outlet
I215325,11/3/2016 1:54,C274208,Female,36,Technology,4,4200,3780,Cash,West,Colorado,Kanyon
I265014,11/3/2016 1:54,C946883,Male,27,Toys,5,179.2,143.36,Cash,West,Colorado,Kanyon
I129642,11/3/2016 1:54,C335835,Female,40,Cosmetics,3,121.98,91.485,Cash,West,Colorado,Metrocity
I814130,11/3/2016 1:55,C198738,Male,46,Toys,2,71.68,50.176,Credit Card,East,New York,Kanyon
I474829,11/3/2016 1:55,C244555,Female,58,Shoes,5,3000.85,2700.765,Debit Card,Central,Texas,Viaport Outlet
I341944,11/3/2016 1:55,C304487,Female,28,Clothing,4,1200.32,1140.304,Cash,Central,Texas,Metrocity
I343924,11/3/2016 1:55,C198216,Female,55,Books,4,60.6,45.45,Cash,Central,Texas,Metropol AVM
I221589,11/3/2016 1:55,C147022,Female,22,Cosmetics,3,121.98,91.485,Credit Card,West,Idaho,Mall of Istanbul
I328138,11/3/2016 1:56,C168853,Male,33,Souvenir,1,11.73,8.211,Cash,West,Idaho,Viaport Outlet
I420464,11/3/2016 1:56,C178587,Male,30,Clothing,3,900.24,675.18,Credit Card,West,Idaho,Kanyon
I277759,11/3/2016 1:56,C260684,Female,66,Technology,4,4200,3780,Credit Card,West,Idaho,Kanyon
